geoid_r	pop_rIp	GDPpc_rIp	popd_rIp	allpat	educ_rIp
421	410683.39	5472.68	5.20	0.02	5.32
422	4568142.48	22841.08	8.76	0.34	7.58
423	2082858.00	6882.65	4.82	0.03	4.18
424	1371314.69	5522.46	3.68	0.05	3.98
425	1019682.81	6210.15	4.48	0.03	4.33
426	5453561.17	8644.16	6.12	0.16	5.73
427	665431.20	8443.92	5.49	0.21	5.58
428	582035.16	10297.20	4.45	0.18	5.20
429	3282635.90	6685.61	4.45	0.30	4.45
430	1601459.77	5966.30	3.68	0.27	3.21
431	301960.82	14351.34	2.19	0.00	5.21
432	740061.54	7027.06	3.57	0.08	4.38
435	536856.07	4538.43	4.77	0.02	7.01
441	453235.84	3707.64	5.34	0.03	6.02
455	381352.39	1929.09	4.28	0.04	1.03
458	1207536.38	15104.41	6.98	0.03	4.96
465	158674.91	5061.89	3.54	0.10	2.22
475	305441.87	19039.10	4.01	0.06	7.50
476	681153.51	16444.44	4.99	0.09	7.70
477	479180.17	14806.71	4.00	0.08	7.40
478	507211.65	14547.39	4.15	0.17	7.50
479	282378.56	18211.73	3.79	0.04	7.65
480	406425.98	15018.53	3.86	0.04	7.33
481	760863.34	16259.10	5.11	0.10	7.82
482	1042558.22	16359.54	4.77	0.24	7.63
483	226455.44	16097.11	3.16	0.02	7.60
484	306085.98	17636.44	3.18	0.01	7.38
485	132989.25	16563.17	2.48	0.05	7.44
486	105058.35	22355.32	2.56	0.07	8.23
487	332876.01	17905.71	3.50	0.24	7.41
488	112987.88	17386.79	3.06	0.01	8.36
489	238722.83	17503.75	3.38	0.23	8.70
490	98701.40	21402.77	3.07	0.04	8.44
491	63045.38	21628.49	2.21	0.06	9.01
492	333924.51	21834.93	4.12	0.10	8.68
493	141057.34	16250.96	2.99	0.03	8.48
494	3361533.71	27501.61	6.45	2.40	8.37
495	1408134.50	20943.54	5.30	0.51	8.30
496	418403.53	13316.05	3.40	0.04	7.45
497	267551.13	15629.69	3.03	0.03	7.49
498	937482.40	19504.54	5.38	0.06	8.01
499	695019.03	18820.42	4.57	0.13	7.77
509	2202427.89	23448.41	5.68	4.64	6.98
510	5739681.50	26185.99	6.17	13.92	7.38
