geoid_r,macroregion,impact,diff,year_c,region,allpat,pop_r,yearsofeducation_r,gdppcregion_r,lnpopulationdensity_r,shape_area_r,id_c,pop_r_ip,yearsofeducation_r_ip,gdppcregion_r_ip,lnpopulationdensity_r_ip,shape_area_r_ip,region_ip
415,Latin America,.12582392,-1,2005,Michoacan,0,2111172.8,6.1347451,6424.7432,4.2006068,31639043105.7,,2111172.8,6.1347451,6424.7432,4.2006068,31639043105.7,Michoacan
416,Latin America,.12582392,-1,2005,Nayarit,2,514110.47,7.229156,6776.877,3.545248,14837980794.2,1653,514110.47,7.229156,6776.877,3.545248,14837980794.2,Nayarit
417,Latin America,.12582392,-1,2005,Campeche,0,400960.53,7.0882621,19591.539,2.7127249,26606033141.5,,400960.53,7.0882621,19591.539,2.7127249,26606033141.5,Campeche
418,Latin America,.12582392,0,2005,Oaxaca,2,1843499.3,5.5680099,5236.6831,3.6362629,48577370876.5,1653,1843499.3,5.5680099,5236.6831,3.6362629,48577370876.5,Oaxaca
419,Latin America,.12582392,0,2005,Puebla,1,2862016.8,6.7127261,8173.0718,5.0570312,18215097761,1653,2862016.8,6.7127261,8173.0718,5.0570312,18215097761,Puebla
420,Latin America,.12582392,0,2005,Tabasco,0,1051587.3,7.2663269,7669.458,4.4176502,12684819857.3,,1051587.3,7.2663269,7669.458,4.4176502,12684819857.3,Tabasco
421,Latin America,.12582392,-1,2005,Tlaxcala,0,569282.56,7.6862988,6012.915,5.5679302,2173735028.4,,569282.56,7.6862988,6012.915,5.5679302,2173735028.4,Tlaxcala
422,Latin America,.12582392,-1,2005,Distrito Federal,34,4643732.5,9.5507984,29867.189,8.7817612,712847824.763,1653,4643732.5,9.5507984,29867.189,8.7817612,712847824.763,Distrito Federal
423,Latin America,.12582392,0,2005,Guanajuato,1,2632387,6.4203591,8377.7607,5.081882,16342421495.8,1653,2632387,6.4203591,8377.7607,5.081882,16342421495.8,Guanajuato
424,Latin America,.12582392,0,2005,Guerrero,1,1643762,6.0475101,6351.6948,3.878675,33990049430,1653,1643762,6.0475101,6351.6948,3.878675,33990049430,Guerrero
425,Latin America,.12582392,0,2005,Hidalgo,0,1258220.8,6.7644811,6694.627,4.705297,11383408656.9,1653,1258220.8,6.7644811,6694.627,4.705297,11383408656.9,Hidalgo
426,Latin America,.12582392,-1,2005,Mexico,8,7462730,8.099021,8267.8145,6.4733,11523363503.2,1653,7462730,8.099021,8267.8145,6.4733,11523363503.2,Mexico
427,Latin America,.12582392,0,2005,Morelos,0,856243.13,7.80478,10446.12,5.7779222,2650192689.11,,856243.13,7.80478,10446.12,5.7779222,2650192689.11,Morelos
428,Latin America,.12582392,0,2005,Queretaro,16,859360.69,7.7877998,13409.03,4.8866181,6485511623.06,1653,859360.69,7.7877998,13409.03,4.8866181,6485511623.06,Queretaro
429,Latin America,.12582392,-1,2005,Veracruz,10,3789589.5,6.3662491,7117.6182,4.6055789,37880405641.5,1653,3789589.5,6.3662491,7117.6182,4.6055789,37880405641.5,Veracruz
430,Latin America,.12582392,0,2005,Chiapas,24,2251729.5,5.1962061,4599.418,4.0672722,38558706190.5,1653,2251729.5,5.1962061,4599.418,4.0672722,38558706190.5,Chiapas
431,Latin America,.12582392,0,2005,Quintana Roo,0,605647.25,7.887167,17307.641,3.1017821,27235347637.7,,605647.25,7.887167,17307.641,3.1017821,27235347637.7,Quintana Roo
432,Latin America,.12582392,0,2005,Yucatan,3,977640.19,6.7109251,9521.1904,3.8720779,20349649759.4,1653,977640.19,6.7109251,9521.1904,3.8720779,20349649759.4,Yucatan
433,Latin America,.12582392,0,2005,,0,,,,,,,226079.42,7.6776552,3705.5903,4.5725055,2348821184.15,Atlntida
434,Latin America,.12582392,0,2005,,0,,,,,,,139406.69,6.3258429,2972.178,3.5375021,4077275208.46,Coln
435,Latin America,.12582392,1,2005,,1,,,,,,1646,643055.06,9.1797037,3560.2346,4.9603391,4517518259.04,Francisco Morazn
