geoid_r,macroregion,impact,diff,diff2,year_c,region,allpat,pop_r,yearsofeducation_r,gdppcregion_r,lnpopulationdensity_r,shape_area_r,id_c,pop_r_ip,yearsofeducation_r_ip,gdppcregion_r_ip,lnpopulationdensity_r_ip,shape_area_r_ip,region_ip
133,Latin America,0.12582392,0,0,2005,,0,,,,,,,1217367,8.04671,7618.2124,3.9845791,22613050794,Biobo
134,Latin America,0.12582392,0,0,2005,,0,,,,,,,500553.94,7.8406181,9452.7998,3.9473855,9637730927,Libertador General Bernardo O'Higgins
135,Latin America,0.12582392,0,0,2005,,1,,,,,,1552,756055.25,7.32651,6496.3242,2.8324854,44383940799,Los Lagos
136,Latin America,0.12582392,-1,0,2005,,0,,,,,,,586078.63,7.2587452,6589.4385,3.4359021,18835596965,Maule
137,Latin America,0.12582392,0,0,2005,Acre,1,327154.97,5.546298,4257.9131,1.439631,77540701829,1572,327154.97,5.546298,4257.9131,1.439631,77540701829,Acre
138,Latin America,0.12582392,0,0,2005,"Amazonas, MG, MG do Sul, Rondnia, Roraima",11,5044303,6.2464938,6714.6572,1.097743,1.6829E+12,1572,5044303,6.2464938,6714.6572,1.097743,1.6829E+12,"Amazonas, MG, MG do Sul, Rondnia, Roraima"
139,Latin America,0.12582392,-1,0,2005,Maranho,2,3093815.8,5.0167198,2522.7029,2.9323399,1.64814E+11,1572,3093815.8,5.0167198,2522.7029,2.9323399,1.64814E+11,Maranho
140,Latin America,0.12582392,0,0,2005,Par and Amap,2,3146613.5,5.550251,4253.3232,1.511686,6.93947E+11,1572,3146613.5,5.550251,4253.3232,1.511686,6.93947E+11,Par and Amap
141,Latin America,0.12582392,0,0,2005,"Gois, DF, Tocantins",49,4735588,6.972908,9340.4004,2.682606,3.23842E+11,1572,4735588,6.972908,9340.4004,2.682606,3.23842E+11,"Gois, DF, Tocantins"
142,Latin America,0.12582392,0,0,2005,Minas Gerais,90,10153868,6.2889409,6129.874,3.4855869,3.11072E+11,1572,10153868,6.2889409,6129.874,3.4855869,3.11072E+11,Minas Gerais
143,Latin America,0.12582392,0,0,2005,Rio Grande do Sul,8,6130864,6.8751488,8284.0029,3.666327,1.56768E+11,1572,6130864,6.8751488,8284.0029,3.666327,1.56768E+11,Rio Grande do Sul
144,Latin America,0.12582392,0,0,2005,So Paulo,12,21374194,7.4597888,11253.15,5.0686712,1.3446E+11,1572,21374194,7.4597888,11253.15,5.0686712,1.3446E+11,So Paulo
145,Latin America,0.12582392,0,0,2005,Paran,6,5643936.5,6.7048588,7556.8872,3.940733,1.09684E+11,1572,5643936.5,6.7048588,7556.8872,3.940733,1.09684E+11,Paran
146,Latin America,0.12582392,0,0,2005,Santa Catarina,11,3283865.8,6.821033,8938.9609,4.1165009,53531785354,1572,3283865.8,6.821033,8938.9609,4.1165009,53531785354,Santa Catarina
147,Latin America,0.12582392,0,0,2005,Cear,2,4084790.8,5.437366,3086.4021,4.0081482,74208432659,1572,4084790.8,5.437366,3086.4021,4.0081482,74208432659,Cear
148,Latin America,0.12582392,0,0,2005,Piau,0,1545454.5,4.821074,2227.979,2.4906909,1.28045E+11,,1545454.5,4.821074,2227.979,2.4906909,1.28045E+11,Piau
149,Latin America,0.12582392,0,0,2005,Alagoas,0,1551999.5,4.897738,2832.3259,4.6857109,14319015560,,1551999.5,4.897738,2832.3259,4.6857109,14319015560,Alagoas
150,Latin America,0.12582392,0,0,2005,Bahia,13,7218395,5.3533859,3956.582,3.2192471,2.88629E+11,1572,7218395,5.3533859,3956.582,3.2192471,2.88629E+11,Bahia
151,Latin America,0.12582392,0,0,2005,Esprito Santo,3,1769177.8,6.6602468,8677.0078,4.2828412,24420652813,1572,1769177.8,6.6602468,8677.0078,4.2828412,24420652813,Esprito Santo
